DESIGNATION,Female,Male
IR09L305,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR82608-B-B-1-1,IR49830-7-1-2-3,IR77078-B-17-3-2
IR82608-B-B-11-1,IR49830-7-1-2-3,IR77078-B-17-3-2
IR82608-B-B-39-1,IR49830-7-1-2-3,IR77078-B-17-3-2
IR82609-B-B-35-1,IR49830-7-1-2-3,IR77081-B-61-2-3
IR82609-B-B-50-3,IR49830-7-1-2-3,IR77081-B-61-2-3
IR83365-B-B-139-3,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-30-2,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-76-1,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-76-3,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83370-B-B-52-4,IR70213-10-CPA4-2-2-2,IR72875-94-3-3-2
IR83372-B-B-115-4,IR71700-247-1-1-2,IR57514-PMI5-B-1-2
IR83372-B-B-94-1,IR71700-247-1-1-2,IR57514-PMI5-B-1-2
IR83372-B-B-94-3,IR71700-247-1-1-2,IR57514-PMI5-B-1-2
IR83373-B-B-21-2,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-32-1,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83376-B-B-110-4,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-71-3,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-86-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83377-B-B-100-3,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83377-B-B-123-1,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83381-B-B-103-1,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-137-1,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-38-4,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83383-B-B-112-4,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR83383-B-B-11-4,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR83383-B-B-54-2,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR83383-B-B-54-4,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR83387-B-B-109-1,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-109-3,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-109-4,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-110-2,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-110-3,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-134-3,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-138-2,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-27-2,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-35-2,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-40-3,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83388-B-B-8-1,IR72022-46-2-3-3-2,SWARNA
IR83388-B-B-8-2,IR72022-46-2-3-3-2,SWARNA
IR83388-B-B-8-4,IR72022-46-2-3-3-2,SWARNA
IR83405-B-B-23-4,PSBRC18(IR51672-62-2-1-1-2-3),IR72875-94-3-3-2
IR83614-1003-B-B,IR78875-131-B-1-2,IR64
IR82608-B-B-11-2,IR49830-7-1-2-3,IR77078-B-17-3-2
IR82608-B-B-33-1,IR49830-7-1-2-3,IR77078-B-17-3-2
IR83377-B-B-116-3,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83364-B-B-95-2,IR70213-10-CPA4-2-2-2,SWARNA
IR83365-B-B-102-3,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-139-4,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-30-1,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-34-1,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-34-3,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-34-4,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83365-B-B-76-4,IR70213-10-CPA4-2-2-2,IR72022-46-2-3-3-2
IR83370-B-B-52-3,IR70213-10-CPA4-2-2-2,IR72875-94-3-3-2
IR83372-B-B-115-3,IR71700-247-1-1-2,IR57514-PMI5-B-1-2
IR83372-B-B-33-2,IR71700-247-1-1-2,IR57514-PMI5-B-1-2
IR83372-B-B-94-4,IR71700-247-1-1-2,IR57514-PMI5-B-1-2
IR83373-B-B-118-4,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-13-1,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-21-3,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-25-3,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-25-4,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-50-1,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-81-2,IR71700-247-1-1-2,IR72875-94-3-3-2
IR82607-B-B-34-2,IR49830-7-1-2-3,IR77073-B-35-1-1
IR83376-B-B-110-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-119-1,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-130-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-130-3,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-135-4,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-143-4,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-150-1,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-150-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-150-3,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-150-4,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-24-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-45-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-47-3,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-8-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-91-1,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83376-B-B-91-2,IR71700-247-1-1-2,IR77080-B-34-1-1
IR83866-B-B-3-4,CT6510-24-1-2,IR71700-247-1-1-2
IR83866-B-B-38-4,CT6510-24-1-2,IR71700-247-1-1-2
IR83873-B-B-17-1,IR00A107,IR72176-140-1-2-2-3
IR83873-B-B-17-2,IR00A107,IR72176-140-1-2-2-3
IR83873-B-B-17-3,IR00A107,IR72176-140-1-2-2-3
IR83873-B-B-24-2,IR00A107,IR72176-140-1-2-2-3
IR83886-B-B-8-4,IR70181-32-PMI1-1-5-1,SAMBHAMAHSURI
IR83887-B-B-10-3,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-10-4,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-11-2,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-21-4,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-28-4,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-49-1,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-67-2,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-84-1,IR70181-32-PMI1-1-5-1,SWARNA
IR83944-B-B-16-1,IR62141-114-3-2-2-2(PSBRC80),IR72176-140-1-2-2-3
IR83944-B-B-62-1,IR62141-114-3-2-2-2(PSBRC80),IR72176-140-1-2-2-3
IR83946-B-B-24-1,IRRI123,IR72176-140-1-2-2-3
IR83946-B-B-47-4,IRRI123,IR72176-140-1-2-2-3
IR83946-B-B-98-3,IRRI123,IR72176-140-1-2-2-3
IR16A2332,PSBRC82_IR10F379,IR10F290
IR16A1070,IR10N108,IRRI154
IR16A2225,PR37704-2B-6-1-2-1-1,IRRI154
IR83377-B-B-116-1,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83377-B-B-116-2,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83377-B-B-123-2,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83377-B-B-7-3,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83377-B-B-7-4,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83377-B-B-85-4,IR71700-247-1-1-2,SAMBHAMAHSURI
IR83380-B-B-124-3,IR72022-46-2-3-3-2,PSBRC18(IR51672-62-2-1-1-2-3)
IR83381-B-B-103-3,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-103-4,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-117-3,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-117-4,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR09L302,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-18-2,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-18-4,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-55-4,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-6-1,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-6-2,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-6-3,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83381-B-B-7-1,IR72022-46-2-3-3-2,IR77080-B-34-1-1
IR83387-B-B-125-1,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-134-2,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-134-4,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-27-4,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-40-1,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83387-B-B-62-1,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR83388-B-B-8-3,IR72022-46-2-3-3-2,SWARNA
IR83388-B-B-95-2,IR72022-46-2-3-3-2,SWARNA
IR83911-B-B-33-4,IR72164-348-6-2-2-2,IR55419-04
IR83915-B-B-15-4,IR72176-140-1-2-2-3,IR77080-B-34-3
IR83915-B-B-4-2,IR72176-140-1-2-2-3,IR77080-B-34-3
IR83915-B-B-9-3,IR72176-140-1-2-2-3,IR77080-B-34-3
IR83939-B-B-47-4,C2764-10-2(PSBRC14),IR72176-140-1-2-2-3
IR84070-B-B-2-4,IR70213-10-CPA4-2-2-2,SWARNA
IR83363-B-B-53-3,IR70213-10-CPA4-2-2-2,PSBRC18(IR51672-62-2-1-1-2-3)
IR79532-21-2-2-1,IR72967-12-2-3,IR72903-121-2-1-2
IR79615-9-3-1-3,IR73707-45-3-2-3,IR73005-135-3-3-2
IR02L107,IR70179-1-1-1-1,IR73885-1-4-3-2-1-6
IR78555-3-2-2-2,IR72870-102-2-2-1-3,IR72870-19-2-2-3
IR80431-B-44-4,IR72981-92-1-1-2-2,IR77080-B-34-1-1
IR06L770,IR01A102,CT6510-24-1-2
IR81187-B-B-107-1,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR81187-B-B-157-1,IR73711-130-1-3-1_IR77782-B-10-1-2,IR70210-39-CPA7-1-1-4-2
IR09L217,IR71700-247-1-1-2,IR77080-B-34-1-1
IR84859-B-94-2-3,IR70181-3-PMI1-UBN1-B-1-1,IRRI163
IR16T1661,IR10F336,IR55179-3B-11-3
IR108175-B-22-AJY3-B-1,IR12T217,PR38012-3B-3-1
IR16T1662,BRRIDHAN55_IR58443-6B-10-3,BRRIDHAN55
IR11L125,IR06L164,IR81454-B-B-172
IR11L115,IR06L164,IR78985-B-6-B-B-B
IR11L160,IR06L164,IR79906-B-192-2-3
IR11L222,IR06L164,IR79906-B-192-2-3
IR11L247,IR06L164,IR79906-B-192-2-3
IR11L208,IR06L164,IR78933-B-24-B-B-1
IR11L262,IR06L142,IR07L346
IR11L105,DHAGADDESHI,IRRI180
IR11L356,IRRI123,IR05A260
IR11L355,IRRI123,IR05N372
IR11L326,IRRI123,IR05N372
IR11L328,IR77298-5-6-18,IR05N343
IR11L358,IR71525-19-1-1,IR05N372
IR11L337,IR55419-04,IRRI154
IR11L349,IR55419-04,IRRI154
IR09L343,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR11L258,IR06L164,IR71525-19-1-1
IR16L1868,IR09L337_B1050D-KN-1-1-1-1-3,IR09L336_B1050D-KN-1-1-1-1-3
IR16L1850,IR09L337,BUNGAMEHU
IR16L1855,HHZ8-SAL6-SAL3-Y2,IR09L204
IR16L1849,HHZ8-SAL6-SAL3-Y2,IR09L303
IR16L1844,HHZ8-SAL6-SAL3-Y2,IR09L303
IR16L1848,HHZ8-SAL6-SAL3-Y2,IR09L120
IR16L1860,HHZ8-SAL6-SAL3-Y2,IR09L120
IR16L1865,HHZ8-SAL6-SAL3-Y2,IR09L120
IR16L1859,PR37139-3-1-3-1-2-1,IR09L303
IR16L1861,PR37866-1B-1-4,IR08L216
IR16L1857,IR09L303,BENONG130
IR16L1591,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1596,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1637,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1599,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1632,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1620,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1592,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1611,HHZ5-DT20-DT2-DT1,IR09L336
IR16L1636,HHZ5-DT20-DT2-DT1,IR09L204
IR16L1621,HHZ5-DT20-DT2-DT1,IR09L204
IR16L1619,HHZ5-DT20-DT2-DT1,IR09L204
IR16L1639,HHZ5-DT20-DT2-DT1,IR09L204
IR16L1606,IRBB60(IR72920-1-44-4),IR09L342
IR16L1608,IRBB60(IR72920-1-44-4),IR09L336
IR16L1584,IRBB60(IR72920-1-44-4),IR09L336
IR16L1594,IR90265-B-551-1,IR87707-445-B-B-B
IR16L1583,IR90265-B-551-1,IR87707-445-B-B-B
IR16L1665,IRRI123,IR87707-446-B-B-B
IR16L1687,UPLRI7,IRRI148
IR16L1657,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1661,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1652,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1678,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1668,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1701,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1675,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1677,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1651,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1672,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1704,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1698,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1654,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1739,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1736,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1709,HHZ8-SAL6-SAL3-Y2_IR09L337,HHZ8-SAL6-SAL3-Y2_IR09L303
IR16L1737,PR35805-B-9-2-3-2-3_IR09L337,IR06N119_IR09L336
IR16L1754,PR35805-B-9-2-3-2-3_IR09L337,IR06N119_IR09L336
IR16L1721,IR06N155_IR09L120,IR10N108_IR09L337
IR16L1730,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1743,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1717,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1728,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1716,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1729,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1742,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1753,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1708,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1723,IR05N412_IR09L336,PR37139-3-1-3-1-2-1_IR09L303
IR16L1711,PR30245-10-414_IR09L179,PR37866-1B-1-4_IR08L216
IR16L1749,IR67966-44-2-3_IR90265-B-551-1,IR67966-44-2-3_IR87707-446-B-B-B
IR16L1713,IR08N121_IR90266-B-228-1,IR09L179_IR88288-10-4-1-4
IR16L1733,IR08N121_IR90266-B-228-1,IR09L179_IR88288-10-4-1-4
IR16L1726,IR08N121_IR90266-B-228-1,IR09L179_IR88288-10-4-1-4
IR16L1789,IR09L204,CICIHGEDU
IR16L1815,IR09L204,CICIHGEDU
IR16L1817,IR09L204,CICIHGEDU
IR16L1779,IR09L204,CICIHGEDU
IR16L1833,IR09L204,CICIHGEDU
IR16L1777,IR09L303*2_BENONG130,IR09L342
IR16L1767,IR09L303*2_BENONG130,IR09L342
IR16L1801,IR09L303*2_BUNGAMEHU,IR09L342
IR16L1791,IR09L303*2_BUNGAMEHU,IR09L342
IR16L1780,IR09L303*2_BUNGAMEHU,IR09L342
IR16L1795,IR09L337,BUNGAMEHU
IR16L1822,IR09L337,BUNGAMEHU
IR16L1760,IR09L337,BUNGAMEHU
IR16L1818,IR09L337,BUNGAMEHU
IR16L1799,IR09L337,BUNGAMEHU
IR16L1756,IR09L337,BUNGAMEHU
IR16L1831,IR09L337,BUNGAMEHU
IR16L1769,IR09L337,BUNGAMEHU
IR16L1832,IR09L337,BUNGAMEHU
IR16L1758,IR09L337,BUNGAMEHU
IR16L1802,IR09L337,CICIHGEDU
IR16L1792,IR09L337,CICIHGEDU
IR16L1800,IR09L337,CICIHGEDU
IR16L1829,IR09L204,BUNGAMEHU
IR16F1014,IR10F365,IR05N412
IR16F1033,IR09F436,IR04A115
IR16F1045,IR09F436,IR05N412
IR16F1061,IR09F436,IR10N237
IR16F1079,IR09F436,PR37866-1B-1-4
IR16F1097,IR09F437,IR05N412
IR16F1159,IR11F262,PR30245-10-414
IR16F1172,IR12F397_IR12F385,PR30245-10-414
IR16F1181,IR12F547_IR12F384,PR30245-10-414
IR96465-B-BGY372-103,CSR28,SADRI(ACC32339)
IR84850-B-1-1-1,IR70181-32-PMI1-1-5-1,IR71700-247-1-1
IR10L123,IR70181-32-PMI1-1-5-1,IR71700-247-1-1
IR10L275,IR78877-208-B-1-2,IR80508-B-57-3-B
IR127152-2-10,IR09F436,IRBB66
IR127155-1-22,IR09F436,IRBL9-W
IR83887-B-B-67-4,IR70181-32-PMI1-1-5-1,SWARNA
IR83887-B-B-84-2,IR70181-32-PMI1-1-5-1,SWARNA
IR83899-B-B-3-4,IR70215-65-CPA2-UBN2-B-1-1,SWARNA
IR03A568,IRRI145_PSBRC18(IR51672-62-2-1-1-2-3),IRRI145
IR04A428,IR73718-1-2-1-3,PSBRC10(IR50404-57-2-2-3)
IR05N359,IR72158-11-5-2-3,IR72903-121-2-1-2
IR36,IR1561-228-1-2_IR1737,CR94-13
IR13L375,IR08L118,IR09N202
IR12L376,IR03A262,IR77298-14-1-2-10
IR13L328,THADOKKHAM1,IR08L119
IR12L386,IRRI174,IR77298-14-1-2-10
IR11N313,IR05N173_IRRI143,IR67966-44-2-3-2
IR11A293,IR04A427,IR69726-116-1-3(MATATAG1)
IR11A297,IR04A427,IR69726-116-1-3(MATATAG1)
IRRI144,IR68897A,IR71604-4-1-4-4-4-2-2-2R
IRRI161,IR57514-PMI5-B-1-2,IRRI123
IR73008-138-2-2-2,IR65469-161-2-2-3-2-2,IR65631-154-3-2-3-3-3
IR83373-B-B-24-3,IR71700-247-1-1-2,IR72875-94-3-3-2
IR83373-B-B-107-3,IR71700-247-1-1-2,IR72875-94-3-3-2
IR16F1229,IR11F186,IR08N210
IR16F1198,IR91217-113,IR91197-144
IR16F1251,IR12F566,IRRI154
IR16F1226,IR10F365,IR08N210
IR16F1201,IR91217-113,IR91197-144
IR16F1269,IR09F436,IR08N210
IR16F1254,IRRI119,IR08N210
IR16F1243,IR12F164,IR08N210
IR16F1205,IRRI168,IRRI149
IR16F1237,IR11F216,IR08N210
IR17L1325,IR111243,IR105146
IR17L1446,IR111242,IR105145
IR17L1484,IR111242,IR105145
IR17L1433,IR111243,IR105146
IR17L1305,IR111243,IR105146
IR17L1488,IR111242,IR105145
IR17L1283,IR111242,IR105145
IR17L1288,IR111242,IR105145
IR17L1333,IR111242,IR105145
IR17L1526,IR111242,IR105145
IR17L1480,IR111243,IR105146
IR17L1415,IR111242,IR105145
IR17L1452,IR111243,IR105146
IR17L1490,IR111242,IR105145
IR17L1352,IR111243,IR105146
IR17L1342,IR111242,IR105145
IR17L1376,IR111242,IR105145
IR17L1512,IR111243,IR105146
IR17L1313,IR111242,IR105145
IR17L1437,IR111242,IR105145
IR17L1284,IR111242,IR105145
IR17L1497,IR111243,IR105146
IR17L1381,IR111242,IR105145
IR17L1472,IR111242,IR105145
IR17L1390,IR111242,IR105145
IR17L1318,IR111242,IR105145
IR17L1494,IR111243,IR105146
IR17L1408,IR111242,IR105145
IR17L1363,IR111242,IR105145
IR17L1478,IR111243,IR105146
IR17L1366,IR111243,IR105146
IR17L1470,IR111243,IR105146
IR17L1430,IR111242,IR105145
IR17L1402,IR111242,IR105145
IR17L1496,IR111242,IR105145
IR17L1378,IR111243,IR105146
IR17L1296,IR111242,IR105145
IR17L1317,IR111242,IR105145
IR17L1328,IR111242,IR105145
IR17L1340,IR111243,IR105146
IR17L1349,IR111242,IR105145
IR17L1383,IR111242,IR105145
IR17L1420,IR111243,IR105146
IR17L1475,IR111242,IR105145
IR17L1321,IR111242,IR105145
IR17L1500,IR111242,IR105145
IR17L1454,IR111242,IR105145
IR17L1457,IR111242,IR105145
IR17L1302,IR111243,IR105146
IR17L1495,IR111242,IR105145
IR17L1432,IR111242,IR105145
IR17L1314,IR111242,IR105145
IR17L1368,IR111242,IR105145
IR17L1443,IR111242,IR105145
IR17L1493,IR111242,IR105145
IR17L1384,IR111243,IR105146
IR17L1471,IR111242,IR105145
IR17L1462,IR111243,IR105146
IR17L1323,IR111243,IR105146
IR17L1364,IR111242,IR105145
IR17L1360,IR111242,IR105145
IR17L1451,IR111243,IR105146
IR17L1448,IR111242,IR105145
IR17L1417,IR111244,IR111246
IR17L1436,IR111243,IR105146
IR17L1324,IR111242,IR105145
IR17L1341,IR91648-B-114-B-1-B,PR30245-10-414
IR17L1481,IR111244,IR111246
IR17L1506,IR111244,IR111246
IR17L1351,IR91648-B-114-B-1-B,HHZ8-SAL6-SAL3-Y2
IR17L1411,IR111244,IR111246
IR17L1285,IR111244,IR111246
IR17L1391,IR111244,IR111246
IR17L1365,IR111243,IR105146
IR17L1435,IR111243,IR105146
IR17L1464,IR111244,IR111246
IR17L1477,IR111244,IR111246
IR17L1337,IR91648-B-114-B-1-B,HHZ8-SAL6-SAL3-Y2
IR17L1309,IR91648-B-114-B-1-B,PR30245-10-414
IR17L1423,IR111243,IR105146
IR17L1362,IR111242,IR105145
IR17L1387,IR111243,IR105146
IR17L1463,IR111243,IR105146
IR17L1520,IR91648-B-114-B-1-B,PR30245-10-414
IR17L1541,IR111242,IR105145
IR17L1574,IR111243,IR105146
IR17L1544,IR111244,IR111246
IR17L1542,IR91648-B-1-B-3-1,HHZ8-SAL6-SAL3-Y2
IR17L1583,IR91648-B-1-B-3-1,PR37942-3B-5-3-2
IR17L1528,IR10A134,LAKHON
IR17L1563,PR37139-3-1-3-1-2-1,INTOK
IR17L1567,PR30245-10-414,KAM
IR17L1564,PR30245-10-414,KAM
IR17L1571,PR30245-10-414,KAM
IR17L1587,PR30245-10-414,KAM
IR17L1532,IRRI123,BEAQPENDJALIN
IR17L1588,PR37139-3-1-3-1-2-1,INTOK
IR17L1527,IR09L204,KETANMERAH
IR17L1531,PR30245-10-414,KAM
IR78660-58-2-3-2,IR02W103,PSBRC64(IR59552-21-3-2-2)
IR80420-B-22-2,IR70213-9-CPA12-UBN2-1-3-1,IR71700-247-1-1-2
IR82298-B-B-86-1,UPLRI7_IR61920-3B-22-2-1(NSICRC106),IR64
IR82076-B-B-79-3,IR77078-B-17-3-2,IR74371-78-1-1
IR82077-B-B-121-3,IR77078-B-17-3-2,THADOKKHAM1
IR82293-B-B-31-1,IR75000-69-2-1-2_IR55423-01(NSICRC9),IR64
IR82077-B-B-32-3,IR77078-B-17-3-2,THADOKKHAM1
IR84129-139-B,IRRI143,IR01A163
IR84129-89-B,IRRI143,IR01A163
IR84129-108-B,IRRI143,IR01A163
IR82074-B-B-4-3,IR77078-B-17-3-2,IR74371-3-1-1
IR82077-B-B-65-1,IR77078-B-17-3-2,THADOKKHAM1
IR06L764,IR01A102,CT6510-24-1-2
IR06L747,IRRI143,IR74371-70-1-1
IR69715-72-1-3,IR72_IRKESAR,IR1561-228-3*2_UTRIRAJAPAN(ACC16684)
IR83387-B-B-138-1,IR72022-46-2-3-3-2,SAMBHAMAHSURI
IR82607-B-B-94-4,IR49830-7-1-2-3,IR77073-B-35-1-1
IR82607-B-B-94-2,IR49830-7-1-2-3,IR77073-B-35-1-1
IR83383-B-B-129-1,IR72022-46-2-3-3-2,IR57514-PMI5-B-1-2
IR83894-B-B-23-1,IR70213-10-CPA4-2-2-2,IR62141-114-3-2-2-2(PSBRC80)
IR05A233,IR73008-138-2-2-2,IR00A103
IR05N449,IR73005-135-3-3-2,IR71676-34-1-1
IR04L769,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR80421-B-127-3,IR82851-16,IR82855-9
IR80412-B-19-1,IR70204-32-1-B-2,IR71700-247-1-1-2
IR82870-48,IR73012-137-2-2-2,PSBRC10(IR50404-57-2-2-3)
IR70179-1-1-1-1-B,IR43524-55-1-3-2_IR57514-SRN299-2-1-1,IR54119-SRN4-B-1-1
IR73718-3-1-3-3,IR65469-161-2-2-3-2-2_IR65459-73-1-2-2-3-2,IR1529-ECIA
IR75298-98-2-3-2,IR00A107,PSBRC54(IR60819-34-2-1)
IR02L103,IR68815-51-PMI2-UBN7-1-B,IR69726-116-1-3(MATATAG1)
IR10L155,IR70181-32-PMI1-1-5-1,IRRI163
IR10L161,IR70215-70-CPA3-4-1-3,IR71700-247-1-1
IR10L144,IR70215-70-CPA3-4-1-3,IRRI163
IR04L768,SBIR67471-M-8-1-1-1-1,SABITA(NC492)
IR10L208,IR06L129,IR06G113
