S.No.,Year,Season,Treatment,Design,Study_Name,Plot_No,Rep,Entry_No,Block,Entry-Check,YKGH,Row,Col
6601,2008,WS,Stress,Alpha-Lattice,L08WS-16,142,2,80,8,Check,3275.9,,
6602,2008,WS,Stress,Alpha-Lattice,L08WS-16,208,3,80,6,Check,4278.99,,
7062,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,54,1,154,16,Entry,4155.8,,
7063,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,195,2,154,16,Entry,4310.2,,
7064,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,470,3,154,16,Entry,4193.8,,
7542,2009,DS,Stress,Alpha-Lattice,L09DS-12,24,1,154,16,Entry,52.6,,
7543,2009,DS,Stress,Alpha-Lattice,L09DS-12,197,2,154,16,Entry,338.31,,
7544,2009,DS,Stress,Alpha-Lattice,L09DS-12,475,3,154,16,Entry,937.76,,
9528,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,1,1,42,1,Check,6363.9,,
9529,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,73,2,42,5,Check,5544.5,,
9530,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,120,3,42,4,Check,6181.5,,
9672,2010,WS,Stress,Alpha-Lattice,L10WS-12,25,1,42,5,Entry,2176.5,,
9673,2010,WS,Stress,Alpha-Lattice,L10WS-12,71,2,42,4,Entry,2176.5,,
9674,2010,WS,Stress,Alpha-Lattice,L10WS-12,105,3,42,2,Entry,2470.6,,
8868,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,65,1,72,13,Entry,5160.4,,
8869,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,150,2,72,13,Entry,4653.9,,
8870,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,177,3,72,2,Entry,3261.8,,
9123,2010,DS,Stress,Alpha-Lattice,L10DS-17,22,1,72,5,Entry,2646.4,,
9124,2010,DS,Stress,Alpha-Lattice,L10DS-17,119,2,72,7,Entry,2229.7,,
9125,2010,DS,Stress,Alpha-Lattice,L10DS-17,227,3,72,12,Entry,2763.9,,
9474,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,32,1,24,6,Entry,4186.3,,
9475,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,70,2,24,4,Entry,4353.5,,
9476,2010,WS,Non-Stress,Alpha-Lattice,L10WS-11,125,3,24,5,Entry,4578,,
9618,2010,WS,Stress,Alpha-Lattice,L10WS-12,18,1,24,3,Entry,2676.5,,
9619,2010,WS,Stress,Alpha-Lattice,L10WS-12,67,2,24,4,Entry,2088.2,,
9620,2010,WS,Stress,Alpha-Lattice,L10WS-12,118,3,24,4,Entry,2294.1,,
10107,2011,DS,Stress,Alpha-Lattice,L11DS-15,5,1,19,1,Entry,2546.1,,
10108,2011,DS,Stress,Alpha-Lattice,L11DS-15,91,2,19,9,Entry,401,,
10109,2011,DS,Stress,Alpha-Lattice,L11DS-15,110,3,19,2,Entry,615.7,,
8871,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,44,1,73,9,Entry,4538.7,,
8872,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,158,2,73,15,Entry,4891.1,,
8873,2010,DS,Non-Stress,Alpha-Lattice,L10DS-16,224,3,73,11,Entry,4218.2,,
9126,2010,DS,Stress,Alpha-Lattice,L10DS-17,33,1,73,7,Entry,1066.6,,
9127,2010,DS,Stress,Alpha-Lattice,L10DS-17,106,2,73,5,Entry,1799.5,,
9128,2010,DS,Stress,Alpha-Lattice,L10DS-17,230,3,73,12,Entry,1617.8,,
193,2003,DS,Stress,Alpha-lattice,LDS03-02,22,1,49,4,Entry,2773.3,,
194,2003,DS,Stress,Alpha-lattice,LDS03-02,94,2,49,6,Entry,2800,,
195,2003,DS,Stress,Alpha-lattice,LDS03-02,121,3,49,2,Entry,3653.3,,
196,2003,DS,Stress,Alpha-lattice,LDS03-02,222,4,49,8,Entry,4880,,
285,2003,WS,Stress,Alpha-lattice,LWS03-01,29,1,21,3,Entry,1020,,
286,2003,WS,Stress,Alpha-lattice,LWS03-01,63,2,21,2,Entry,1781.9,,
287,2003,WS,Stress,Alpha-lattice,LWS03-01,142,3,21,5,Entry,1483.3,,
711,2005,DS,Stress,Alpha-lattice,L05DS-19,6,1,29,1,Entry,3381.23,,
712,2005,DS,Stress,Alpha-lattice,L05DS-19,124,2,29,7,Entry,2397.09,,
713,2005,DS,Stress,Alpha-lattice,L05DS-19,180,3,29,4,Entry,1102.29,,
1023,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,57,1,56,9,Entry,3987.5,,
1024,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,90,2,56,2,Entry,4807.55,,
1025,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,216,3,56,9,Entry,4224.29,,
1242,2006,DS,Stress,Alpha-lattice,L06DS-14,7,1,52,1,Entry,1114.19,,
1243,2006,DS,Stress,Alpha-lattice,L06DS-14,191,2,52,9,Entry,120.6,,
1244,2006,DS,Stress,Alpha-lattice,L06DS-14,330,3,52,11,Entry,227.26,,
2082,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,6,1,52,1,Entry,2601.38,,
2083,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,170,2,52,6,Entry,2061.62,,
2084,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,256,3,52,4,Entry,3473.71,,
3639,2007,WS,Stress,Alpha-Lattice,L07WS-15,35,1,3,7,Entry,3654.05,,
3640,2007,WS,Stress,Alpha-Lattice,L07WS-15,121,2,3,12,Entry,3572.28,,
3641,2007,WS,Stress,Alpha-Lattice,L07WS-15,173,3,3,9,Entry,3167.41,,
3834,2007,WS,Non-Stress,Alpha-Lattice,L07WS-14,54,1,3,11,Entry,3328.4,,
3835,2007,WS,Non-Stress,Alpha-Lattice,L07WS-14,73,2,3,2,Entry,4100.17,,
3836,2007,WS,Non-Stress,Alpha-Lattice,L07WS-14,184,3,3,11,Entry,3132.64,,
4296,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,70,2,20,1,Entry,5232.76,,
4297,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,7,1,20,1,Entry,4416.67,,
4298,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,173,3,20,6,Entry,3689.25,,
4704,2007,DS,Stress,Alpha-Lattice,L07DS-27,28,1,20,4,Entry,931.82,,
4705,2007,DS,Stress,Alpha-Lattice,L07DS-27,125,2,20,8,Entry,860.58,,
4706,2007,DS,Stress,Alpha-Lattice,L07DS-27,160,3,20,4,Entry,262.5,,
4857,2008,DS,Non-Stress,Alpha-Lattice,L08DS-16,39,1,7,7,Entry,5638.5,,
4858,2008,DS,Non-Stress,Alpha-Lattice,L08DS-16,125,2,7,8,Entry,5074.8,,
4859,2008,DS,Non-Stress,Alpha-Lattice,L08DS-16,187,3,7,6,Entry,5652.8,,
5091,2008,DS,Stress,Alpha-Lattice,L08DS-17,78,1,7,13,Entry,90.3,,
5092,2008,DS,Stress,Alpha-Lattice,L08DS-17,153,2,7,13,Entry,1851.5,,
5093,2008,DS,Stress,Alpha-Lattice,L08DS-17,205,3,7,9,Entry,2039.8,,
6126,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,78,1,2,10,Entry,4718.93,,
6127,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,85,2,2,1,Entry,3349.29,,
6128,2008,WS,Non-Stress,Alpha-Lattice,L08WS-15,174,3,2,2,Entry,4195.92,,
6366,2008,WS,Stress,Alpha-Lattice,L08WS-16,55,1,2,7,Entry,3634.17,,
6367,2008,WS,Stress,Alpha-Lattice,L08WS-16,84,2,2,1,Entry,3750.54,,
6368,2008,WS,Stress,Alpha-Lattice,L08WS-16,195,3,2,5,Entry,3578.78,,
6606,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,58,1,2,1,Entry,5295,,
6607,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,229,2,2,1,Entry,6112.6,,
6608,2009,DS,Non-Stress,Alpha-Lattice,L09DS-11,338,3,2,1,Entry,4419.9,,
7086,2009,DS,Stress,Alpha-Lattice,L09DS-12,93,1,2,1,Entry,675.87,,
7087,2009,DS,Stress,Alpha-Lattice,L09DS-12,302,2,2,1,Entry,263.01,,
7088,2009,DS,Stress,Alpha-Lattice,L09DS-12,474,3,2,1,Entry,254.32,,
197,2003,DS,Stress,Alpha-lattice,LDS03-02,34,1,50,5,Entry,3813.3,,
198,2003,DS,Stress,Alpha-lattice,LDS03-02,63,2,50,1,Entry,3706.7,,
199,2003,DS,Stress,Alpha-lattice,LDS03-02,120,3,50,2,Entry,3626.7,,
200,2003,DS,Stress,Alpha-lattice,LDS03-02,182,4,50,2,Entry,2613.3,,
354,2003,WS,Stress,Alpha-lattice,LWS03-01,34,1,44,4,Entry,2148.5,,
355,2003,WS,Stress,Alpha-lattice,LWS03-01,86,2,44,4,Entry,2254.4,,
356,2003,WS,Stress,Alpha-lattice,LWS03-01,131,3,44,4,Entry,1740.8,,
357,2003,WS,Stress,Alpha-lattice,LWS03-01,49,1,45,5,Entry,2027.3,,
358,2003,WS,Stress,Alpha-lattice,LWS03-01,62,2,45,2,Entry,1923.2,,
359,2003,WS,Stress,Alpha-lattice,LWS03-01,101,3,45,1,Entry,2448.6,,
360,2003,WS,Stress,Alpha-lattice,LWS03-01,27,1,46,3,Entry,978,,
361,2003,WS,Stress,Alpha-lattice,LWS03-01,95,2,46,5,Entry,2315.6,,
362,2003,WS,Stress,Alpha-lattice,LWS03-01,141,3,46,5,Entry,1491.3,,
401,2004,DS,Stress,Alpha-lattice,L04DS-07A,13,1,14,3,Entry,4043.8,,
402,2004,DS,Stress,Alpha-lattice,L04DS-07A,81,2,14,7,Entry,3678.5,,
519,2005,DS,Stress,Alpha-lattice,L05DS-18,13,1,16,3,Entry,3073.03,,
520,2005,DS,Stress,Alpha-lattice,L05DS-18,53,2,16,2,Entry,3076.32,,
521,2005,DS,Stress,Alpha-lattice,L05DS-18,123,3,16,7,Entry,2462.62,,
522,2005,DS,Stress,Alpha-lattice,L05DS-18,129,4,16,1,Entry,3085.36,,
846,2005,DS,Stress,Alpha-lattice,L05DS-19,74,1,74,11,Entry,3451.92,,
847,2005,DS,Stress,Alpha-lattice,L05DS-19,93,2,74,3,Entry,3047.97,,
848,2005,DS,Stress,Alpha-lattice,L05DS-19,226,3,74,11,Entry,2280.91,,
1017,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,41,1,54,6,Entry,3491.05,,
1018,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,109,2,54,5,Entry,3780.91,,
1019,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,182,3,54,4,Entry,4202.29,,
1245,2006,DS,Stress,Alpha-lattice,L06DS-14,102,1,53,11,Entry,414.95,,
1246,2006,DS,Stress,Alpha-lattice,L06DS-14,157,2,53,5,Entry,705.17,,
1247,2006,DS,Stress,Alpha-lattice,L06DS-14,226,3,53,1,Entry,674.28,,
2085,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,52,1,53,6,Entry,2715.87,,
2086,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,142,2,53,4,Entry,1167.99,,
2087,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,297,3,53,8,Entry,1616.61,,
4029,2007,DS,Non-Stress,Alpha-Lattice,L07DS-23,25,1,3,3,Entry,5337.77,,
4030,2007,DS,Non-Stress,Alpha-Lattice,L07DS-23,94,2,3,3,Entry,5461.54,,
4031,2007,DS,Non-Stress,Alpha-Lattice,L07DS-23,156,3,3,2,Entry,4696.02,,
4437,2007,DS,Stress,Alpha-Lattice,L07DS-26,31,1,3,4,Check,3442.31,,
4438,2007,DS,Stress,Alpha-Lattice,L07DS-26,96,2,3,3,Check,2732.84,,
4439,2007,DS,Stress,Alpha-Lattice,L07DS-26,169,3,3,3,Check,2804.46,,
1248,2006,DS,Stress,Alpha-lattice,L06DS-14,5,1,54,1,Entry,1236.22,,
1249,2006,DS,Stress,Alpha-lattice,L06DS-14,175,2,54,7,Entry,191.87,,
1250,2006,DS,Stress,Alpha-lattice,L06DS-14,262,3,54,5,Entry,378.79,,
2088,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,39,1,54,4,Entry,3453.83,,
2089,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,203,2,54,10,Entry,2892.85,,
2090,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,314,3,54,10,Entry,2405.8,,
1665,2006,DS,Stress,Alpha-lattice,L06DS-15,57,1,3,7,Entry,189.2,,
1666,2006,DS,Stress,Alpha-lattice,L06DS-15,130,2,3,5,Entry,32,,
1667,2006,DS,Stress,Alpha-lattice,L06DS-15,242,3,3,7,Entry,524.9,,
2265,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,25,1,3,3,Entry,2364.2,,
2266,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,173,2,3,10,Entry,1583.7,,
2267,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,189,3,3,1,Entry,2055.7,,
1257,2006,DS,Stress,Alpha-lattice,L06DS-14,72,1,57,8,Entry,472.11,,
1258,2006,DS,Stress,Alpha-lattice,L06DS-14,217,2,57,11,Entry,123.31,,
1259,2006,DS,Stress,Alpha-lattice,L06DS-14,254,3,57,4,Entry,613.18,,
2097,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,99,1,57,10,Entry,1761.65,,
2098,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,186,2,57,8,Entry,2072.95,,
2099,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,252,3,57,4,Entry,2363.7,,
1260,2006,DS,Stress,Alpha-lattice,L06DS-14,103,1,58,11,Entry,282.93,,
1261,2006,DS,Stress,Alpha-lattice,L06DS-14,163,2,58,6,Entry,461.99,,
1262,2006,DS,Stress,Alpha-lattice,L06DS-14,242,3,58,3,Entry,1180.32,,
1491,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,23,1,25,3,Entry,2462.48,,
1492,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,137,2,25,8,Entry,2507.59,,
1493,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,228,3,25,9,Entry,2380.38,,
2100,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,109,1,58,11,Entry,2718.19,,
2101,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,130,2,58,2,Entry,2941.26,,
2102,2006,DS,Non-Stress,Alpha-lattice,L06DS-17,294,3,58,8,Entry,3598.44,,
2601,2006,WS,Stress,Alpha-Lattice,L06WS-15,64,1,25,8,Entry,1143.89,,
2602,2006,WS,Stress,Alpha-Lattice,L06WS-15,84,2,25,1,Entry,511.5,,
2603,2006,WS,Stress,Alpha-Lattice,L06WS-15,171,3,25,2,Entry,808.27,,
3648,2007,WS,Stress,Alpha-Lattice,L07WS-15,22,1,6,5,Entry,4471.31,,
3649,2007,WS,Stress,Alpha-Lattice,L07WS-15,90,2,6,5,Entry,4220.28,,
3650,2007,WS,Stress,Alpha-Lattice,L07WS-15,174,3,6,9,Entry,3804.83,,
3843,2007,WS,Non-Stress,Alpha-Lattice,L07WS-14,43,1,6,9,Entry,3876.67,,
3844,2007,WS,Non-Stress,Alpha-Lattice,L07WS-14,88,2,6,5,Entry,4135.83,,
3845,2007,WS,Non-Stress,Alpha-Lattice,L07WS-14,155,3,6,5,Entry,3802.67,,
4302,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,142,3,22,2,Entry,5918.1,,
4303,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,97,2,22,5,Entry,6266.2,,
4304,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,14,1,22,2,Entry,5787.04,,
4710,2007,DS,Stress,Alpha-Lattice,L07DS-27,42,1,22,6,Entry,665.84,,
4711,2007,DS,Stress,Alpha-Lattice,L07DS-27,86,2,22,3,Entry,926.02,,
4712,2007,DS,Stress,Alpha-Lattice,L07DS-27,144,3,22,2,Entry,864.36,,
5316,2008,DS,Non-Stress,Alpha-Lattice,L08DS-18,31,1,4,4,Entry,4400,,
5317,2008,DS,Non-Stress,Alpha-Lattice,L08DS-18,116,2,4,4,Entry,5948.4,,
5318,2008,DS,Non-Stress,Alpha-Lattice,L08DS-18,170,3,4,1,Entry,4224.3,,
5559,2008,DS,Stress,Alpha-Lattice,L08DS-19,58,1,4,7,Entry,744.1,,
5560,2008,DS,Stress,Alpha-Lattice,L08DS-19,85,2,4,1,Entry,2288.2,,
5561,2008,DS,Stress,Alpha-Lattice,L08DS-19,169,3,4,1,Entry,2312.3,,
1746,2006,DS,Stress,Alpha-lattice,L06DS-15,4,1,30,1,Entry,0,,
1747,2006,DS,Stress,Alpha-lattice,L06DS-15,148,2,30,7,Entry,0,,
1748,2006,DS,Stress,Alpha-lattice,L06DS-15,186,3,30,1,Entry,252.3,,
2346,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,3,1,30,1,Entry,1617.2,,
2347,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,122,2,30,4,Entry,1762.8,,
2348,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,192,3,30,2,Entry,1924.5,,
1743,2006,DS,Stress,Alpha-lattice,L06DS-15,38,1,29,5,Entry,465.3,,
1744,2006,DS,Stress,Alpha-lattice,L06DS-15,172,2,29,10,Entry,0,,
1745,2006,DS,Stress,Alpha-lattice,L06DS-15,181,3,29,1,Entry,162.3,,
2343,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,83,1,29,10,Entry,514.6,,
2344,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,140,2,29,6,Entry,1479.3,,
2345,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,234,3,29,6,Entry,2694.6,,
1866,2006,DS,Stress,Alpha-lattice,L06DS-15,59,1,70,7,Entry,9.1,,
1867,2006,DS,Stress,Alpha-lattice,L06DS-15,146,2,70,7,Entry,39,,
1868,2006,DS,Stress,Alpha-lattice,L06DS-15,260,3,70,9,Entry,7.8,,
2466,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,61,1,70,7,Entry,742,,
2467,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,139,2,70,6,Entry,996.9,,
2468,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,217,3,70,5,Entry,1063.6,,
1737,2006,DS,Stress,Alpha-lattice,L06DS-15,90,1,27,10,Entry,38.8,,
1738,2006,DS,Stress,Alpha-lattice,L06DS-15,110,2,27,3,Entry,131.7,,
1739,2006,DS,Stress,Alpha-lattice,L06DS-15,251,3,27,8,Entry,0,,
2337,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,2,1,27,1,Entry,2556,,
2338,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,133,2,27,5,Entry,2301.1,,
2339,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,260,3,27,9,Entry,3245.4,,
1845,2006,DS,Stress,Alpha-lattice,L06DS-15,13,1,63,2,Entry,479,,
1846,2006,DS,Stress,Alpha-lattice,L06DS-15,179,2,63,10,Entry,134.2,,
1847,2006,DS,Stress,Alpha-lattice,L06DS-15,247,3,63,8,Entry,267.4,,
2445,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,24,1,63,3,Entry,2608.8,,
2446,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,154,2,63,8,Entry,3949.5,,
2447,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,264,3,63,10,Entry,2501.1,,
2835,2006,WS,Non-Stress,Alpha-Lattice,L06WS-18,33,1,23,7,Entry,2941.67,,
2836,2006,WS,Non-Stress,Alpha-Lattice,L06WS-18,48,2,23,2,Entry,1209.35,,
2837,2006,WS,Non-Stress,Alpha-Lattice,L06WS-18,84,3,23,1,Entry,1237.68,,
2955,2006,WS,Stress,Alpha-Lattice,L06WS-19,20,1,23,4,Entry,1276.48,,
2956,2006,WS,Stress,Alpha-Lattice,L06WS-19,49,2,23,2,Entry,979.99,,
2957,2006,WS,Stress,Alpha-Lattice,L06WS-19,118,3,23,8,Entry,2140.33,,
4314,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,41,1,26,6,Entry,5517.24,,
4315,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,108,2,26,6,Entry,4060.19,,
4316,2007,DS,Non-Stress,Alpha-Lattice,L07DS-24,172,3,26,6,Entry,2094.91,,
4722,2007,DS,Stress,Alpha-Lattice,L07DS-27,24,1,26,3,Entry,5,,
4723,2007,DS,Stress,Alpha-Lattice,L07DS-27,91,2,26,4,Entry,32.5,,
4724,2007,DS,Stress,Alpha-Lattice,L07DS-27,171,3,26,6,Entry,25,,
825,2005,DS,Stress,Alpha-lattice,L05DS-19,18,1,67,3,Entry,3213.36,,
826,2005,DS,Stress,Alpha-lattice,L05DS-19,133,2,67,8,Entry,2998.37,,
827,2005,DS,Stress,Alpha-lattice,L05DS-19,199,3,67,7,Entry,3320.59,,
888,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,76,1,11,11,Entry,4442.33,,
889,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,78,2,11,1,Entry,5411.25,,
890,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,162,3,11,2,Entry,4706.06,,
4038,2007,DS,Non-Stress,Alpha-Lattice,L07DS-23,19,1,6,3,Entry,4697.12,,
4039,2007,DS,Non-Stress,Alpha-Lattice,L07DS-23,135,2,6,7,Entry,5026.44,,
4040,2007,DS,Non-Stress,Alpha-Lattice,L07DS-23,178,3,6,4,Entry,5310.1,,
4446,2007,DS,Stress,Alpha-Lattice,L07DS-26,50,1,6,6,Check,3644.23,,
4447,2007,DS,Stress,Alpha-Lattice,L07DS-26,105,2,6,4,Check,2388.61,,
4448,2007,DS,Stress,Alpha-Lattice,L07DS-26,166,3,6,3,Check,675.26,,
678,2005,DS,Stress,Alpha-lattice,L05DS-19,10,1,18,2,Entry,3354.69,,
679,2005,DS,Stress,Alpha-lattice,L05DS-19,87,2,18,2,Entry,2902.11,,
680,2005,DS,Stress,Alpha-lattice,L05DS-19,231,3,18,11,Entry,2564.45,,
1029,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,4,1,58,1,Entry,3995.16,,
1030,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,154,2,58,11,Entry,4277.76,,
1031,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,220,3,58,10,Entry,4209.01,,
756,2005,DS,Stress,Alpha-lattice,L05DS-19,65,1,44,10,Entry,2431.68,,
757,2005,DS,Stress,Alpha-lattice,L05DS-19,105,2,44,4,Entry,2523.65,,
758,2005,DS,Stress,Alpha-lattice,L05DS-19,179,3,44,4,Entry,722.27,,
1041,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,38,1,62,6,Entry,3671.95,,
1042,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,101,2,62,4,Entry,4652.32,,
1043,2005,DS,Non-Stress,Alpha-lattice,L05DS-24,193,3,62,6,Entry,4338.65,,
1722,2006,DS,Stress,Alpha-lattice,L06DS-15,20,1,22,3,Entry,105.8,,
1723,2006,DS,Stress,Alpha-lattice,L06DS-15,105,2,22,2,Entry,204.3,,
1724,2006,DS,Stress,Alpha-lattice,L06DS-15,235,3,22,7,Entry,145.2,,
2322,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,9,1,22,1,Entry,2378.9,,
2323,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,167,2,22,9,Entry,982,,
2324,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,227,3,22,6,Entry,3428,,
1758,2006,DS,Stress,Alpha-lattice,L06DS-15,35,1,34,4,Entry,1528,,
1759,2006,DS,Stress,Alpha-lattice,L06DS-15,170,2,34,9,Entry,832.4,,
1760,2006,DS,Stress,Alpha-lattice,L06DS-15,252,3,34,8,Entry,146.3,,
2358,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,51,1,34,6,Entry,1249,,
2359,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,96,2,34,1,Entry,1968.9,,
2360,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,196,3,34,2,Entry,2360.1,,
1857,2006,DS,Stress,Alpha-lattice,L06DS-15,61,1,67,7,Entry,191.5,,
1858,2006,DS,Stress,Alpha-lattice,L06DS-15,121,2,67,4,Entry,62.7,,
1859,2006,DS,Stress,Alpha-lattice,L06DS-15,198,3,67,2,Entry,455.8,,
2457,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,84,1,67,10,Entry,2422.1,,
2458,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,119,2,67,4,Entry,3006.4,,
2459,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,206,3,67,3,Entry,2915.7,,
1698,2006,DS,Stress,Alpha-lattice,L06DS-15,89,1,14,10,Entry,277.6,,
1699,2006,DS,Stress,Alpha-lattice,L06DS-15,166,2,14,9,Entry,0,,
1700,2006,DS,Stress,Alpha-lattice,L06DS-15,209,3,14,4,Entry,373.6,,
2298,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,50,1,14,6,Entry,1703.2,,
2299,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,111,2,14,3,Entry,2115,,
2300,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,183,3,14,1,Entry,3093.8,,
1821,2006,DS,Stress,Alpha-lattice,L06DS-15,8,1,55,1,Entry,52.7,,
1822,2006,DS,Stress,Alpha-lattice,L06DS-15,168,2,55,9,Entry,191.6,,
1823,2006,DS,Stress,Alpha-lattice,L06DS-15,265,3,55,10,Entry,24.3,,
2421,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,43,1,55,5,Entry,281.3,,
2422,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,151,2,55,7,Entry,298.6,,
2423,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,204,3,55,3,Entry,674.9,,
1770,2006,DS,Stress,Alpha-lattice,L06DS-15,12,1,38,2,Entry,74.5,,
1771,2006,DS,Stress,Alpha-lattice,L06DS-15,93,2,38,1,Entry,59.2,,
1772,2006,DS,Stress,Alpha-lattice,L06DS-15,236,3,38,7,Entry,122.3,,
2370,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,55,1,38,7,Entry,3627.2,,
2371,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,91,2,38,1,Entry,1780.7,,
2372,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,265,3,38,10,Entry,3082.1,,
1896,2006,DS,Stress,Alpha-lattice,L06DS-15,15,1,80,2,Entry,113.8,,
1897,2006,DS,Stress,Alpha-lattice,L06DS-15,160,2,80,8,Entry,71,,
1898,2006,DS,Stress,Alpha-lattice,L06DS-15,217,3,80,5,Entry,2.6,,
2496,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,71,1,80,8,Entry,529.9,,
2497,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,178,2,80,10,Entry,415.2,,
2498,2006,DS,Non-Stress,Alpha-lattice,L06DS-18,193,3,80,2,Entry,1500.7,,
1638,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,39,1,74,5,Entry,1682.51,,
1639,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,97,2,74,3,Entry,1797.26,,
1640,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,203,3,74,6,Entry,2419.56,,
2748,2006,WS,Stress,Alpha-Lattice,L06WS-15,18,1,74,3,Entry,66.53,,
2749,2006,WS,Stress,Alpha-Lattice,L06WS-15,99,2,74,3,Entry,70.49,,
2750,2006,WS,Stress,Alpha-Lattice,L06WS-15,173,3,74,2,Entry,1006.16,,
1641,2006,WS,Non-Stress,Alpha-lattice,L06WS-14,62,1,75,8,Entry,1742.15,,
